timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2024-10-09T00:00:00.000Z";"2024-10-09T23:59:59.999Z";"2024-10-09T01:39:00.000Z";"2024-10-09T21:01:00.000Z";"2790";130.6483538431;132.2642184065;126.8687665325;127.3293871538;1546601785.5272007;59577506168.74602;"2024-10-09T23:59:59.999Z"
"2024-10-08T00:00:00.000Z";"2024-10-08T23:59:59.999Z";"2024-10-08T02:10:00.000Z";"2024-10-08T15:37:00.000Z";"2790";131.2008598011;132.4223928232;128.8024904429;130.6351916372;1558662048.1409702;61312338295.51401;"2024-10-08T23:59:59.999Z"
"2024-10-07T00:00:00.000Z";"2024-10-07T23:59:59.999Z";"2024-10-07T14:44:00.000Z";"2024-10-07T23:07:00.000Z";"2790";133.4964635972;138.6137513401;130.8062624863;131.1917883181;2441970481.0882277;61596282001.480865;"2024-10-07T23:59:59.999Z"
"2024-10-06T00:00:00.000Z";"2024-10-06T23:59:59.999Z";"2024-10-06T23:46:00.000Z";"2024-10-06T00:11:00.000Z";"2790";129.9505774552;133.6508912572;129.4065228937;133.4807560192;1064210260.6577958;62485368456.58495;"2024-10-06T23:59:59.999Z"
"2024-10-05T00:00:00.000Z";"2024-10-05T23:59:59.999Z";"2024-10-05T08:28:00.000Z";"2024-10-05T21:00:00.000Z";"2790";130.3877047518;131.8833510823;128.5464061162;129.9505979371;1014468687.7025875;60902391879.52953;"2024-10-05T23:59:59.999Z"
"2024-10-04T00:00:00.000Z";"2024-10-04T23:59:59.999Z";"2024-10-04T21:15:00.000Z";"2024-10-04T01:03:00.000Z";"2790";123.9509111471;131.5166212825;123.3091628323;130.3877047518;2140234457.3127248;60780171038.16;"2024-10-04T23:59:59.999Z"
"2024-10-03T00:00:00.000Z";"2024-10-03T23:59:59.999Z";"2024-10-03T04:01:00.000Z";"2024-10-03T15:45:00.000Z";"2790";127.0773931931;129.4034268432;121.2307527153;123.9383269094;2638666495.879449;58007534989.85754;"2024-10-03T23:59:59.999Z"
"2024-10-02T00:00:00.000Z";"2024-10-02T23:59:59.999Z";"2024-10-02T06:49:00.000Z";"2024-10-02T20:28:00.000Z";"2790";131.3175057591;134.4628073694;125.7075785501;127.0850077709;2614117999.076153;59445107102.016174;"2024-10-02T23:59:59.999Z"
"2024-10-01T00:00:00.000Z";"2024-10-01T23:59:59.999Z";"2024-10-01T11:04:00.000Z";"2024-10-01T20:43:00.000Z";"2790";137.0347463273;141.8725238179;129.0840376574;131.3009427118;3282837518.000392;61102157539.236176;"2024-10-01T23:59:59.999Z"
"2024-09-30T00:00:00.000Z";"2024-09-30T23:59:59.999Z";"2024-09-30T01:35:00.000Z";"2024-09-30T23:44:00.000Z";"2790";142.0313781267;142.8120052619;136.4955663403;137.0312361026;2128048201.753475;63980268057.366234;"2024-09-30T23:59:59.999Z"
"2024-09-29T00:00:00.000Z";"2024-09-29T23:59:59.999Z";"2024-09-29T21:25:00.000Z";"2024-09-29T08:30:00.000Z";"2790";140.4578051887;144.8108758652;138.9635176403;142.0281452881;1587951612.2384572;66587177193.62457;"2024-09-29T23:59:59.999Z"
"2024-09-28T00:00:00.000Z";"2024-09-28T23:59:59.999Z";"2024-09-28T02:38:00.000Z";"2024-09-28T09:10:00.000Z";"2790";141.2092501314;142.6354786139;139.0138515492;140.4578051887;1164454843.6304939;65866290600.42014;"2024-09-28T23:59:59.999Z"
"2024-09-27T00:00:00.000Z";"2024-09-27T23:59:59.999Z";"2024-09-27T14:37:00.000Z";"2024-09-27T02:33:00.000Z";"2790";139.2000051369;143.9716287146;138.0270527814;141.207487482;2474696613.870505;66172608076.04103;"2024-09-27T23:59:59.999Z"
"2024-09-26T00:00:00.000Z";"2024-09-26T23:59:59.999Z";"2024-09-26T15:49:00.000Z";"2024-09-26T00:54:00.000Z";"2790";132.996219133;141.1846996555;131.8900864754;139.2071616375;2704442196.4777827;65535330484.3637;"2024-09-26T23:59:59.999Z"
"2024-09-25T00:00:00.000Z";"2024-09-25T23:59:59.999Z";"2024-09-25T01:41:00.000Z";"2024-09-25T23:38:00.000Z";"2790";136.6348358607;137.2461055369;132.4739233947;132.9854331545;1911215703.5510957;62004216609.39072;"2024-09-25T23:59:59.999Z"
"2024-09-24T00:00:00.000Z";"2024-09-24T23:59:59.999Z";"2024-09-24T23:01:00.000Z";"2024-09-24T00:43:00.000Z";"2790";130.3362439665;137.2333436095;129.0167153577;136.6365073264;2634570141.546831;64499245487.56349;"2024-09-24T23:59:59.999Z"
"2024-09-23T00:00:00.000Z";"2024-09-23T23:59:59.999Z";"2024-09-23T03:29:00.000Z";"2024-09-23T21:22:00.000Z";"2790";129.7233663655;133.4340097933;128.3574951911;130.3262517321;2100094604.323783;60810284356.78785;"2024-09-23T23:59:59.999Z"
"2024-09-22T00:00:00.000Z";"2024-09-22T23:59:59.999Z";"2024-09-22T00:11:00.000Z";"2024-09-22T22:09:00.000Z";"2790";133.8588417118;134.1621375922;126.6796215952;129.7368331053;1430398678.9428205;60745332390.56217;"2024-09-22T23:59:59.999Z"
"2024-09-21T00:00:00.000Z";"2024-09-21T23:59:59.999Z";"2024-09-21T23:55:00.000Z";"2024-09-21T04:40:00.000Z";"2790";131.1501701473;134.135846643;129.5790316043;133.8588417118;1239864961.0115192;62699246186.72925;"2024-09-21T23:59:59.999Z"
"2024-09-20T00:00:00.000Z";"2024-09-20T23:59:59.999Z";"2024-09-20T06:58:00.000Z";"2024-09-20T01:16:00.000Z";"2790";128.0023992747;135.7771784653;126.6206965994;131.1501701473;2904519968.3571234;61533907298.082184;"2024-09-20T23:59:59.999Z"
"2024-09-19T00:00:00.000Z";"2024-09-19T23:59:59.999Z";"2024-09-19T19:28:00.000Z";"2024-09-19T00:00:00.000Z";"2790";120.5753773529;128.9354377852;120.5753773529;127.9741540269;2595717433.145706;60216459364.12393;"2024-09-19T23:59:59.999Z"
"2024-09-18T00:00:00.000Z";"2024-09-18T23:59:59.999Z";"2024-09-18T23:59:00.000Z";"2024-09-18T15:47:00.000Z";"2790";118.2605179222;120.5886425457;114.5043082223;120.5886425457;2032496341.1303144;56423097346.36611;"2024-09-18T23:59:59.999Z"
"2024-09-17T00:00:00.000Z";"2024-09-17T23:59:59.999Z";"2024-09-17T15:29:00.000Z";"2024-09-17T01:16:00.000Z";"2790";118.1403422153;121.8508984367;117.2894306217;118.2567033468;1551747375.1738222;55360633613.751434;"2024-09-17T23:59:59.999Z"
"2024-09-16T00:00:00.000Z";"2024-09-16T23:59:59.999Z";"2024-09-16T08:28:00.000Z";"2024-09-16T17:38:00.000Z";"2790";118.6031117038;118.9579920441;116.1085658647;118.1370636334;1464028098.999666;55521662571.0834;"2024-09-16T23:59:59.999Z"
"2024-09-15T00:00:00.000Z";"2024-09-15T23:59:59.999Z";"2024-09-15T02:04:00.000Z";"2024-09-15T23:13:00.000Z";"2790";123.7804741961;124.4515370429;118.1360780284;118.5977202288;1225718516.7648528;55557556954.07175;"2024-09-15T23:59:59.999Z"
"2024-09-14T00:00:00.000Z";"2024-09-14T23:59:59.999Z";"2024-09-14T03:28:00.000Z";"2024-09-14T18:11:00.000Z";"2790";125.4589402576;126.0289918944;122.6649997175;123.7804741961;859044635.0218056;57916897013.8011;"2024-09-14T23:59:59.999Z"
"2024-09-13T00:00:00.000Z";"2024-09-13T23:59:59.999Z";"2024-09-13T22:22:00.000Z";"2024-09-13T12:29:00.000Z";"2790";122.8838668448;126.1173138302;118.9728044556;125.4571482225;1506186666.3800244;58774518367.54286;"2024-09-13T23:59:59.999Z"
"2024-09-12T00:00:00.000Z";"2024-09-12T23:59:59.999Z";"2024-09-12T22:49:00.000Z";"2024-09-12T00:01:00.000Z";"2790";120.3370277857;123.3720502887;120.2882163059;122.9006122998;1450484409.7964363;57858257903.08359;"2024-09-12T23:59:59.999Z"
